                        t                     Fp_x                  Fvisc_x                 Ftotal_x                     Fp_y                  Fvisc_y                 Ftotal_y
  0.50000000000000037E-01  0.40918966483822664E-01  0.16760902876546224E+00  0.20852799524928489E+00  0.78487693539513279E-01 -0.21088616686756531E-02  0.76378831870837632E-01
  0.10000000000000007E+00  0.37537985556302195E-01  0.14398082251275598E+00  0.18151880806905818E+00  0.86443096676586728E-01 -0.13425519889693177E-02  0.85100544687617408E-01
  0.15000000000000011E+00  0.35646661434113908E-01  0.12611879136637030E+00  0.16176545280048421E+00  0.94307718027422618E-01 -0.69266601201950126E-03  0.93615052015403113E-01
  0.20000000000000015E+00  0.34137819944473111E-01  0.11218383216383905E+00  0.14632165210831216E+00  0.99385957211624118E-01 -0.12560103304867117E-03  0.99260356178575440E-01
  0.25000000000000017E+00  0.32993238216893872E-01  0.10107984439549210E+00  0.13407308261238599E+00  0.10240696011228555E+00  0.37048979776698056E-03  0.10277744991005253E+00
  0.30000000000000021E+00  0.32321631105533911E-01  0.92047634210983373E-01  0.12436926531651729E+00  0.10383198997562940E+00  0.78414026867891843E-03  0.10461613024430831E+00
  0.35000000000000026E+00  0.32040448055204562E-01  0.84633256421383057E-01  0.11667370447658762E+00  0.10418241558549893E+00  0.11181594060812299E-02  0.10530057499158016E+00
  0.40000000000000030E+00  0.31930106833779906E-01  0.78540082023076524E-01  0.11047018885685643E+00  0.10477190694470349E+00  0.13932442815655696E-02  0.10616515122626906E+00
  0.45000000000000034E+00  0.31861076843816463E-01  0.73488632311530827E-01  0.10534970915534729E+00  0.10576311576272512E+00  0.16285277216096564E-02  0.10739164348433478E+00
  0.50000000000000033E+00  0.31809472688930709E-01  0.69242382713248202E-01  0.10105185540217891E+00  0.10635843701242623E+00  0.18311709740710701E-02  0.10818960798649729E+00
  0.54999999999999483E+00  0.31799137202340469E-01  0.65636091536011854E-01  0.97435228738352322E-01  0.10635793417509955E+00  0.20032908372905698E-02  0.10836122501239012E+00
  0.59999999999998932E+00  0.31829693194567174E-01  0.62553862859277470E-01  0.94383556053844644E-01  0.10615722431988178E+00  0.21487324619587564E-02  0.10830595678184055E+00
  0.64999999999998381E+00  0.31893865319520098E-01  0.59904699362169050E-01  0.91798564681689149E-01  0.10598616959971698E+00  0.22720882205672366E-02  0.10825825782028421E+00
  0.69999999999997831E+00  0.31984825106296834E-01  0.57611895075596851E-01  0.89596720181893685E-01  0.10582314517181453E+00  0.23784881849872341E-02  0.10820163335680176E+00
  0.74999999999997280E+00  0.32077215622501279E-01  0.55610817038311035E-01  0.87688032660812321E-01  0.10556907680049785E+00  0.24720975253867392E-02  0.10804117432588459E+00
  0.79999999999996729E+00  0.32156750844668416E-01  0.53851447124774077E-01  0.86008197969442493E-01  0.10512348268362957E+00  0.25544149013400348E-02  0.10767789758496961E+00
  0.84999999999996179E+00  0.32234387983947829E-01  0.52298428465220648E-01  0.84532816449168477E-01  0.10448166328015082E+00  0.26263505585305946E-02  0.10710801383868142E+00
  0.89999999999995628E+00  0.32314860022621544E-01  0.50925153181465246E-01  0.83240013204086791E-01  0.10372629752119403E+00  0.26900590652162914E-02  0.10641635658641031E+00
  0.94999999999995077E+00  0.32388967978940142E-01  0.49707121686838059E-01  0.82096089665778194E-01  0.10286310656004345E+00  0.27473775518051988E-02  0.10561048411184865E+00
  0.99999999999994527E+00  0.32448379600056768E-01  0.48621198779082414E-01  0.81069578379139182E-01  0.10179850539379119E+00  0.27988656039243257E-02  0.10459737099771552E+00
  0.10499999999999399E+01  0.32487141350685159E-01  0.47648653557781452E-01  0.80135794908466618E-01  0.10043362354725202E+00  0.28442603144686342E-02  0.10327788386172065E+00
  0.10999999999999344E+01  0.32508287463744290E-01  0.46776455133943164E-01  0.79284742597687446E-01  0.98771302014648510E-01  0.28832165359225967E-02  0.10165451855057110E+00
  0.11499999999999289E+01  0.32528175743148417E-01  0.45995328863212719E-01  0.78523504606361136E-01  0.96956514935245749E-01  0.29162860798022119E-02  0.99872801015047960E-01
  0.11999999999999234E+01  0.32550354431135631E-01  0.45295847077474263E-01  0.77846201508609894E-01  0.95125959176014546E-01  0.29450059048655225E-02  0.98070965080880063E-01
  0.12499999999999178E+01  0.32559222760552495E-01  0.44667933075394455E-01  0.77227155835946942E-01  0.93227798079226043E-01  0.29700763726632578E-02  0.96197874451889306E-01
  0.12999999999999123E+01  0.32550424222961734E-01  0.44103086298522609E-01  0.76653510521484336E-01  0.91107200193755233E-01  0.29902665979882068E-02  0.94097466791743439E-01
  0.13499999999999068E+01  0.32538604946077965E-01  0.43595313299814274E-01  0.76133918245892246E-01  0.88748505266069130E-01  0.30044103191824221E-02  0.91752915585251546E-01
  0.13999999999999013E+01  0.32533407387096772E-01  0.43140380415729894E-01  0.75673787802826659E-01  0.86321262390790646E-01  0.30130796359733422E-02  0.89334342026763991E-01
  0.14499999999998958E+01  0.32526755369969372E-01  0.42734126694637199E-01  0.75260882064606571E-01  0.84041793841152707E-01  0.30180833585048521E-02  0.87059877199657562E-01
  0.14999999999998903E+01  0.32504313391393799E-01  0.42371192679950334E-01  0.74875506071344133E-01  0.82035113884544750E-01  0.30215932491085536E-02  0.85056707133653306E-01
  0.15499999999998848E+01  0.32460304290054545E-01  0.42044787013500416E-01  0.74505091303554954E-01  0.80247898784478508E-01  0.30251766671427452E-02  0.83273075451621256E-01
  0.15999999999998793E+01  0.32402571239592171E-01  0.41747935485833686E-01  0.74150506725425863E-01  0.78478257970090226E-01  0.30285950500294782E-02  0.81506853020119702E-01
  0.16499999999998738E+01  0.32345624266656402E-01  0.41475850588649138E-01  0.73821474855305547E-01  0.76551212562528684E-01  0.30299491403309401E-02  0.79581161702859629E-01
  0.16999999999998683E+01  0.32298534470838497E-01  0.41227033974239137E-01  0.73525568445077627E-01  0.74478632652822757E-01  0.30276565680902121E-02  0.77506289220912974E-01
  0.17499999999998628E+01  0.32261305653297725E-01  0.41001642055266241E-01  0.73262947708563966E-01  0.72435446858672231E-01  0.30220878902599817E-02  0.75457534748932215E-01
  0.17999999999998573E+01  0.32230538536222139E-01  0.40798965399704505E-01  0.73029503935926637E-01  0.70604848490509256E-01  0.30152937112910526E-02  0.73620142201800312E-01
  0.18499999999998518E+01  0.32204714332862205E-01  0.40616444842113138E-01  0.72821159174975336E-01  0.69052097228220158E-01  0.30095848446357555E-02  0.72061682072855918E-01
  0.18999999999998463E+01  0.32183596009146845E-01  0.40450295719518935E-01  0.72633891728665773E-01  0.67695034003652413E-01  0.30061027356153899E-02  0.70701136739267798E-01
  0.19499999999998407E+01  0.32164159972308884E-01  0.40296769032352485E-01  0.72460929004661362E-01  0.66361344328119756E-01  0.30040879725344782E-02  0.69365432300654228E-01
  0.19999999999998352E+01  0.32140037138939898E-01  0.40153496921084768E-01  0.72293534060024672E-01  0.64899301324875161E-01  0.30014130750715120E-02  0.67900714399946674E-01
  0.20499999999998519E+01  0.32107045340771648E-01  0.40019974549411599E-01  0.72127019890183247E-01  0.63271422871180344E-01  0.29961258646713056E-02  0.66267548735851653E-01
  0.20999999999998686E+01  0.32068681717192821E-01  0.39896726315071143E-01  0.71965408032263964E-01  0.61559442738093405E-01  0.29877272949019869E-02  0.64547170032995385E-01
  0.21499999999998853E+01  0.32035341903763712E-01  0.39784222446584146E-01  0.71819564350347864E-01  0.59890889104125371E-01  0.29772302149169783E-02  0.62868119319042348E-01
  0.21999999999999020E+01  0.32017145579360584E-01  0.39682413978577920E-01  0.71699559557938497E-01  0.58365392933609463E-01  0.29663409361232627E-02  0.61331733869732723E-01
  0.22499999999999187E+01  0.32016687906928062E-01  0.39590768639898050E-01  0.71607456546826112E-01  0.57027253230556109E-01  0.29566346144390071E-02  0.59983887844995115E-01
  0.22999999999999354E+01  0.32029124285465650E-01  0.39508560560072237E-01  0.71537684845537880E-01  0.55868575745930134E-01  0.29491097759525840E-02  0.58817685521882719E-01
  0.23499999999999521E+01  0.32047467103659737E-01  0.39435090921300216E-01  0.71482558024959952E-01  0.54839850763517418E-01  0.29440146409806783E-02  0.57783865404498098E-01
  0.23999999999999688E+01  0.32065481656683825E-01  0.39369542993159673E-01  0.71435024649843498E-01  0.53869708442208564E-01  0.29408566989379270E-02  0.56810565141146491E-01
  0.24499999999999855E+01  0.32077605984238811E-01  0.39310754923574227E-01  0.71388360907813031E-01  0.52898257040740179E-01  0.29386910889365164E-02  0.55836948129676697E-01
  0.25000000000000022E+01  0.32079302396960552E-01  0.39257310465071402E-01  0.71336612862031953E-01  0.51905781891877036E-01  0.29365725630552154E-02  0.54842354454932254E-01
  0.25500000000000189E+01  0.32067706982633025E-01  0.39207715905390211E-01  0.71275422888023243E-01  0.50915562379626869E-01  0.29338497071114342E-02  0.53849412086738303E-01
  0.26000000000000356E+01  0.32041793285467399E-01  0.39160331031556250E-01  0.71202124317023649E-01  0.49974724568237178E-01  0.29302700968017966E-02  0.52904994665038972E-01
  0.26500000000000523E+01  0.32002928966532743E-01  0.39113374186460353E-01  0.71116303152993096E-01  0.49125169021531676E-01  0.29259809577777433E-02  0.52051149979309416E-01
