                        t                     Fp_x                  Fvisc_x                 Ftotal_x                     Fp_y                  Fvisc_y                 Ftotal_y
  0.50000000000000037E-01  0.16197047488740904E+00  0.27142435502824042E+00  0.43339482991564948E+00 -0.51154711834518940E+00  0.73166879653169370E-01 -0.43838023869202003E+00
  0.10000000000000007E+00  0.14795200980965861E+00  0.20733361874522702E+00  0.35528562855488566E+00 -0.48502080932179598E+00  0.54957887143286532E-01 -0.43006292217850944E+00
  0.15000000000000011E+00  0.14475376628201414E+00  0.16700376770547457E+00  0.31175753398748873E+00 -0.48233899667544339E+00  0.42768880547252003E-01 -0.43957011612819141E+00
  0.20000000000000015E+00  0.14648652777270738E+00  0.13971884982126845E+00  0.28620537759397580E+00 -0.48986778790391827E+00  0.34205902897723392E-01 -0.45566188500619487E+00
  0.25000000000000017E+00  0.14838416373106775E+00  0.12059412722411546E+00  0.26897829095518322E+00 -0.49621166112574228E+00  0.28326041707046026E-01 -0.46788561941869627E+00
  0.30000000000000021E+00  0.15183340272770562E+00  0.10677288143959701E+00  0.25860628416730264E+00 -0.50629380578300687E+00  0.23911839811075284E-01 -0.48238196597193156E+00
  0.35000000000000026E+00  0.15570092742109776E+00  0.96164416551509230E-01  0.25186534397260696E+00 -0.51736694669615724E+00  0.20369232459895904E-01 -0.49699771423626132E+00
  0.40000000000000030E+00  0.15879900913628894E+00  0.87749159316937303E-01  0.24654816845322625E+00 -0.52617344024431911E+00  0.17585828144803962E-01 -0.50858761209951520E+00
  0.45000000000000034E+00  0.16148472487298007E+00  0.80980149713718322E-01  0.24246487458669841E+00 -0.53368939961569462E+00  0.15391779792140783E-01 -0.51829761982355382E+00
  0.50000000000000033E+00  0.16419533490128746E+00  0.75451980446512842E-01  0.23964731534780032E+00 -0.54127251099444151E+00  0.13596898878843980E-01 -0.52767561211559755E+00
  0.54999999999999483E+00  0.16718409101802484E+00  0.70826830669528204E-01  0.23801092168755306E+00 -0.54956184038610534E+00  0.12046908193712152E-01 -0.53751493219239321E+00
  0.59999999999998932E+00  0.17027571491641064E+00  0.66823630217693469E-01  0.23709934513410411E+00 -0.55802454748580232E+00  0.10670048302412092E-01 -0.54735449918339019E+00
  0.64999999999998381E+00  0.17335910781536618E+00  0.63295566000951486E-01  0.23665467381631766E+00 -0.56638376525905021E+00  0.94489655097505475E-02 -0.55693479974929971E+00
  0.69999999999997831E+00  0.17652535490382279E+00  0.60182633698223666E-01  0.23670798860204645E+00 -0.57490200349172460E+00  0.83679061354760657E-02 -0.56653409735624849E+00
  0.74999999999997280E+00  0.17966702549190222E+00  0.57420477841777000E-01  0.23708750333367923E+00 -0.58332894820802195E+00  0.74073421892862940E-02 -0.57592160601873565E+00
  0.79999999999996729E+00  0.18245209895751452E+00  0.54921343102658858E-01  0.23737344206017338E+00 -0.59083955728701076E+00  0.65534782999321986E-02 -0.58428607898707852E+00
  0.84999999999996179E+00  0.18484057368118179E+00  0.52619537383230726E-01  0.23746011106441250E+00 -0.59735692228025539E+00  0.57886620911493693E-02 -0.59156826018910602E+00
  0.89999999999995628E+00  0.18740535322998161E+00  0.50500542802989386E-01  0.23790589603297099E+00 -0.60437362158378460E+00  0.50775244057183339E-02 -0.59929609717806631E+00
  0.94999999999995077E+00  0.19071190018398060E+00  0.48564961914179097E-01  0.23927686209815968E+00 -0.61334528225988938E+00  0.43894214487398397E-02 -0.60895586081114950E+00
  0.99999999999994527E+00  0.19460683255449973E+00  0.46781510354214080E-01  0.24138834290871380E+00 -0.62386311311690679E+00  0.37257779695322683E-02 -0.62013733514737457E+00
  0.10499999999999399E+01  0.19856600189270288E+00  0.45102728311536618E-01  0.24366873020423949E+00 -0.63457064976573974E+00  0.31025687412900684E-02 -0.63146808102444962E+00
  0.10999999999999344E+01  0.20234847155820654E+00  0.43503052774032852E-01  0.24585152433223939E+00 -0.64484222061293872E+00  0.25220163028606161E-02 -0.64232020431007808E+00
  0.11499999999999289E+01  0.20599983568889932E+00  0.41978680150643446E-01  0.24797851583954278E+00 -0.65478096711450151E+00  0.19753842353659365E-02 -0.65280558287913559E+00
  0.11999999999999234E+01  0.20955764033898985E+00  0.40527863516017587E-01  0.25008550385500744E+00 -0.66446912205947650E+00  0.14579080531537392E-02 -0.66301121400632279E+00
  0.12499999999999178E+01  0.21299478312321043E+00  0.39146327728336809E-01  0.25214111085154722E+00 -0.67383483885141071E+00  0.97042083329330984E-03 -0.67286441801811736E+00
  0.12999999999999123E+01  0.21632228326188987E+00  0.37834087528838198E-01  0.25415637079072806E+00 -0.68291566529074832E+00  0.51260228141946241E-03 -0.68240306300932885E+00
  0.13499999999999068E+01  0.21961385999760163E+00  0.36597183797656099E-01  0.25621104379525772E+00 -0.69190487418261326E+00  0.80436655210920378E-04 -0.69182443752740230E+00
