starting worker pid=4448 on localhost:11177 at 04:12:45.248
starting worker pid=5624 on localhost:11177 at 04:12:45.708
starting worker pid=3656 on localhost:11177 at 04:12:45.984
starting worker pid=6188 on localhost:11177 at 04:12:46.270

011-E164-033WL Progress 0 % 
  localhost:11177  4448 : Re 800 AoA -2 4:12:52 AM | File Data Loaded
                 --------------------------------------------------------------- 
  localhost:11177  5624 : Re 800 AoA -4 4:12:52 AM | File Data Loaded
                 --------------------------------------------------------------- 
  localhost:11177  6188 : Re 800 AoA -8 4:12:52 AM | File Data Loaded
                 --------------------------------------------------------------- 
  localhost:11177  4448 : Re 800 AoA -2 4:12:52 AM | Aerofoil Coordinates Calculated 
  localhost:11177  6188 : Re 800 AoA -8 4:12:52 AM | Aerofoil Coordinates Calculated 
  localhost:11177  5624 : Re 800 AoA -4 4:12:52 AM | Aerofoil Coordinates Calculated 
  localhost:11177  3656 : Re 800 AoA -6 4:12:52 AM | File Data Loaded
                 --------------------------------------------------------------- 
  localhost:11177  3656 : Re 800 AoA -6 4:12:52 AM | Aerofoil Coordinates Calculated 
  localhost:11177  4448 : Re 800 AoA -2 4:13:00 AM | Aerofoil Surface Values Plotted 
  localhost:11177  3656 : Re 800 AoA -6 4:13:00 AM | Aerofoil Surface Values Plotted 
  localhost:11177  5624 : Re 800 AoA -4 4:13:00 AM | Aerofoil Surface Values Plotted 
  localhost:11177  6188 : Re 800 AoA -8 4:13:00 AM | Aerofoil Surface Values Plotted 
  localhost:11177  6188 : Re 800 AoA -8 4:13:32 AM | Aerofoil Surface Interpolation Calculated 
  localhost:11177  4448 : Re 800 AoA -2 4:13:33 AM | Aerofoil Surface Interpolation Calculated 
  localhost:11177  3656 : Re 800 AoA -6 4:13:34 AM | Aerofoil Surface Interpolation Calculated 
  localhost:11177  4448 : Re 800 AoA -2 4:13:35 AM | Aerofoil Cp and Vort Plotted 
  localhost:11177  6188 : Re 800 AoA -8 4:13:36 AM | Aerofoil Cp and Vort Plotted 
  localhost:11177  5624 : Re 800 AoA -4 4:13:37 AM | Aerofoil Surface Interpolation Calculated 
  localhost:11177  3656 : Re 800 AoA -6 4:13:37 AM | Aerofoil Cp and Vort Plotted 
  localhost:11177  5624 : Re 800 AoA -4 4:13:42 AM | Aerofoil Cp and Vort Plotted 
  localhost:11177  3656 : Re 800 AoA -6 4:14:35 AM | Interpolation on Normals to Surface Calculated 
  localhost:11177  4448 : Re 800 AoA -2 4:14:37 AM | Interpolation on Normals to Surface Calculated 
  localhost:11177  6188 : Re 800 AoA -8 4:14:43 AM | Interpolation on Normals to Surface Calculated 
  localhost:11177  3656 : Re 800 AoA -6 4:14:46 AM | Interpolation on Normals to Surface Plotted 
  localhost:11177  4448 : Re 800 AoA -2 4:14:50 AM | Interpolation on Normals to Surface Plotted 
  localhost:11177  5624 : Re 800 AoA -4 4:14:55 AM | Interpolation on Normals to Surface Calculated 
  localhost:11177  6188 : Re 800 AoA -8 4:15:06 AM | Interpolation on Normals to Surface Plotted 
  localhost:11177  5624 : Re 800 AoA -4 4:15:22 AM | Interpolation on Normals to Surface Plotted 
  localhost:11177  5624 : Re 800 AoA -4 4:26:38 AM | Boundary Layers Calculated 
  localhost:11177  5624 : Re 800 AoA -4 4:26:46 AM | Boundary Layers Plotted 
